Show,lectura,sent_idx,oracion,n_clips_3s,clips_3s,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,Unsure,PoorAudioQuality,DifficultToUnderstand,NaturalPause,Music,NoSpeech,cobertura,clip_oracion,EpId,start_s,stop_s,dur_s
ATMA,Lectura 6,3,"En una carta que fue dirigida al presidente de la Comisión Permanente del Congreso, Pedro Olaechea, Araoz indicó que con su salida del cargo, espera que se convoque a las elecciones generales lo más pronto.",5,"6,7,8,9,10",2,2,0,0,0,1,0,0,0,0,0,0,0.71,ATMA_2020-05-27_03_55_03_s003.wav,2020-05-27_03_55_03,30.84,47.18,16.34
ATMA,Lectura 6,4,"“Espero que mi renuncia conduzca a la convocatoria de elecciones generales en el más breve plazo por el bien del país"", precisó la exviceministra argumentando que la razón fundamental de su decisión es que “se ha roto el orden constitucional en el Perú”.",1,14,0,0,0,0,0,1,0,0,0,0,0,0,0.123,ATMA_2020-05-27_03_55_03_s004.wav,2020-05-27_03_55_03,47.18,71.62,24.44
ATMA,Lectura 6,5,También señaló que declina del encargo que se le otorgó cuando el Pleno del Congreso anunció la suspensión del mandatario Martín Vizcarra y ella juró como presidenta.,3,"20,21,23",0,0,0,0,0,3,0,0,0,0,1,0,0.66,ATMA_2020-05-27_03_55_03_s005.wav,2020-05-27_03_55_03,71.62,83.608,11.988
ATMA,Lectura 6,6,"“Cumplo con declinar del encargo conferido al renunciar al cargo de vicepresidenta constitucional de la República”, señaló.",3,"24,26,27",0,1,0,0,0,2,0,0,0,0,0,0,0.449,ATMA_2020-05-27_03_55_03_s006.wav,2020-05-27_03_55_03,83.608,92.207,8.6
ATMA,Lectura 6,7,"Asimismo, detalló que tras el pronunciamiento de la Organización de Estados Americanos (OEA), que señaló que el Tribunal Constitucional (TC) debe pronunciarse sobre la situación política, “no hay las condiciones mínimas para ejercer el encargo que me dio el Congreso de la República”.",3,"29,30,31",1,0,0,0,0,2,0,0,0,0,0,0,0.544,ATMA_2020-05-27_03_55_03_s007.wav,2020-05-27_03_55_03,92.207,110.558,18.35
ATMA,Lectura 6,8,"En ese mismo sentido, Mercedes Araoz indicó que, durante su carrera pública, siempre ha preferido defender sus principios antes que “intereses personales” o su “popularidad como política”.",1,35,0,0,0,0,0,1,0,0,0,0,0,0,0.227,ATMA_2020-05-27_03_55_03_s008.wav,2020-05-27_03_55_03,110.558,123.77,13.213
ATMA,Lectura 7,0,"Conozca los nuevos horarios del Metropolitano, los Corredores Complementarios y el Tren Eléctrico",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.174,ATMA_2020-05-27_03_55_25_s000.wav,2020-05-27_03_55_25,0.45,6.694,6.244
ATMA,Lectura 7,1,"Servicios extenderán sus horarios ante cambio del toque de queda hasta las 9:00 p.m. Ante la ampliación del estado de emergencia, la Municipalidad de Lima informó que tanto el Metropolitano como los Corredores Complementarios tendrán nuevos horarios a partir de mañana, 25 de mayo.",2,"0,1",0,0,0,0,0,2,0,0,0,0,0,0,0.313,ATMA_2020-05-27_03_55_25_s001.wav,2020-05-27_03_55_25,6.694,22.38,15.686
ATMA,Lectura 7,2,"Los servicios troncales y las rutas alimentadoras funcionarán de 5:30 a.m. a 9:00 p.m., en sus recorridos habituales.",1,5,0,0,1,0,0,0,0,0,0,0,0,0,0.341,ATMA_2020-05-27_03_55_25_s002.wav,2020-05-27_03_55_25,22.38,31.17,8.79
ATMA,Lectura 7,3,"Los expresos 1, 2, 3, 8, Súper Expreso y Súper Expreso Norte operarán en la tarde hasta las 8:00 p.m. Las puertas de las estaciones se cerrarán a las 9:00 p.m., hora en que inicia el toque de queda a nivel nacional.",3,"8,9,10",0,0,0,0,0,3,0,0,0,0,0,0,0.508,ATMA_2020-05-27_03_55_25_s003.wav,2020-05-27_03_55_25,31.17,47.337,16.168
ATMA,Lectura 7,4,HORARIO DE LOS CORREDORES COMPLEMENTARIOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_55_25_s004.wav,2020-05-27_03_55_25,47.337,52.56,5.223
ATMA,Lectura 7,5,"En el caso de los Corredores Complementarios, el horario será de 5:30 a.m. a 9:00 p.m. en sus rutas normales.",1,13,0,0,0,0,0,1,0,0,0,0,0,0,0.583,ATMA_2020-05-27_03_55_25_s005.wav,2020-05-27_03_55_25,52.56,58.58,6.02
ATMA,Lectura 7,6,"La comuna metropolitana recordó a los usuarios que deberán mantener la distancia mínima de un metro al momento de ingresar a cada paradero, así como al momento de abordar los buses.",3,"14,15,17",0,0,0,0,0,3,0,0,0,1,0,0,0.619,ATMA_2020-05-27_03_55_25_s006.wav,2020-05-27_03_55_25,58.58,69.934,11.354
ATMA,Lectura 7,7,Los pasajeros solo pueden viajar sentados dejando un asiento libre y deben usar mascarilla de manera obligatoria.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_55_25_s007.wav,2020-05-27_03_55_25,69.934,76.547,6.614
ATMA,Lectura 7,8,HORARIO DE LA LÍNEA 1 DEL METRO DE LIMA,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_55_25_s008.wav,2020-05-27_03_55_25,76.547,80.642,4.095
ATMA,Lectura 7,9,"Por su parte, el Ministerio de Transportes y Comunicaciones (MTC) y la Autoridad de Transporte Urbano para Lima y Callao (ATU) anunciaron que el horario de la Línea 1 del Metro de Lima será de 05:30 a.m. a 12:00 p.m. y por la tarde de 4:00 a 8:00 p.m. Los horarios indican la hora de partida de los primeros y últimos trenes desde las estaciones de Villa El Salvador (Sur-Norte) y Bayóvar (Norte-Sur).",4,"25,27,28,29",0,0,0,0,0,4,0,0,0,1,0,0,0.421,ATMA_2020-05-27_03_55_25_s009.wav,2020-05-27_03_55_25,80.642,108.14,27.497
ATMA,Lectura 7,10,"Las autoridades recordaron a la población que al igual que en las unidades del Metropolitano y los corredores, deberán respetar las normas de distanciamiento social e higiene a fin de prevenir contagios de coronavirus.",2,"31,34",0,1,0,0,0,1,0,0,0,0,0,0,0.382,ATMA_2020-05-27_03_55_25_s010.wav,2020-05-27_03_55_25,108.14,121.63,13.49
ATMA,Lectura 8,0,Lima registró 800 denuncias por robo durante la cuarentena en mayo,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.121,ATMA_2020-05-27_03_55_51_s000.wav,2020-05-27_03_55_51,0.0,6.303,6.303
ATMA,Lectura 8,1,"Antes de iniciarse la cuarentena en marzo, los robos en Lima daban un total de 810 actos delictivos mientras que en abril, cuando se inicia con la medida, los robos fueron",3,"1,5,6",1,0,0,0,0,2,0,0,0,0,0,0,0.497,ATMA_2020-05-27_03_55_51_s001.wav,2020-05-27_03_55_51,6.303,21.337,15.035
ATMA,Lectura 8,2,"Durante los primeros días de la cuarentena, el Gobierno informó que la delincuencia había disminuido hasta en un 84 %; sin embargo esa cifra quedó atrás y actualmente la incidencia delictiva está alcanzando las cifras de un día normal.",2,"8,11",0,0,1,0,0,1,0,0,0,0,0,0,0.468,ATMA_2020-05-27_03_55_51_s002.wav,2020-05-27_03_55_51,21.337,37.233,15.895
ATMA,Lectura 8,3,"Los delincuentes han vuelto a las calles e incluso asaltan los puestos de abarrotes, boticas y otros centros que tienen permiso para trabajar durante el aislamiento social obligatorio.",2,"12,13",0,0,0,0,0,2,0,0,0,0,0,0,0.455,ATMA_2020-05-27_03_55_51_s003.wav,2020-05-27_03_55_51,37.233,49.188,11.955
ATMA,Lectura 8,4,Solo en Lima se han registrado hasta 800 robos.,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0.832,ATMA_2020-05-27_03_55_51_s004.wav,2020-05-27_03_55_51,49.188,52.587,3.4
ATMA,Lectura 8,5,"El coronel Carlos Céspedes, jefe de Robos de la Dirección de Investigación Criminal (Dirincri), señaló para Cuarto Poder que ""el modus operandi es el raqueteo”.",5,"15,18,19,20,21",1,1,0,0,0,3,0,0,0,1,0,0,0.68,ATMA_2020-05-27_03_55_51_s005.wav,2020-05-27_03_55_51,52.587,67.358,14.77
ATMA,Lectura 8,6,Esta modalidad tiene como principal característica el uso de un trasporte de donde bajan los sujetos con armas mientras otro hace de ‘campana’.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.001,ATMA_2020-05-27_03_55_51_s006.wav,2020-05-27_03_55_51,67.358,78.779,11.421
ATMA,Lectura 8,7,"Antes de iniciarse la cuarentena en marzo, los robos en Lima daban un total de 810 actos delictivos mientras que en abril, cuando se inicia con la medida se registraron solo 290.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_55_51_s007.wav,2020-05-27_03_55_51,78.779,94.257,15.479
ATMA,Lectura 8,8,Actualmente las cifras han vuelto a la normalidad y solo en el mes de mayo se reportaron 800 denuncias en la capital.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.123,ATMA_2020-05-27_03_55_51_s008.wav,2020-05-27_03_55_51,94.257,102.918,8.66
ATMA,Lectura 8,9,Agentes de la Dirincri vienen elaborando un plan de acción contra la criminalidad para evitar que aumenten las cifras de delincuencia pues con el termino de la cuarentena esto podría descontrolarse.,3,"33,34,35",0,0,0,0,0,3,0,0,0,0,0,0,0.431,ATMA_2020-05-27_03_55_51_s009.wav,2020-05-27_03_55_51,102.918,115.17,12.252
ATMA,Lectura 9,0,Declaran duelo en provincia de Andahuaylas por asesinato de niñas,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.181,ATMA_2020-05-27_03_56_16_s000.wav,2020-05-27_03_56_16,0.43,4.181,3.751
ATMA,Lectura 9,1,El alcalde de Andahuaylas dijo que el consejo municipal se reunirá próximamente y se tomarán “acciones radicales” para frenar la delincuencia en la provincia.,3,"0,1,2",0,0,0,0,0,3,0,0,0,0,1,0,0.789,ATMA_2020-05-27_03_56_16_s001.wav,2020-05-27_03_56_16,4.181,13.114,8.933
ATMA,Lectura 9,2,"El alcalde de Andahuaylas, Abel Gutiérrez, informó que se ha declarado duelo provincial por dos días y que procederán a izar la bandera a media asta, a raíz del caso de violación y asesinato de dos menores que ha conmocionado a los ciudadanos.",2,"4,5",0,0,0,0,0,2,0,0,0,0,0,0,0.36,ATMA_2020-05-27_03_56_16_s002.wav,2020-05-27_03_56_16,13.114,28.1,14.986
ATMA,Lectura 9,3,"En declaraciones al noticiero de ""Latina"", indicó que el consejo municipal se reunirá próximamente y se tomarán “acciones radicales” para frenar la delincuencia en la provincia.    “Pudo ser un familiar de cualquier ciudadano.",4,"6,7,8,10",0,1,0,0,0,2,0,0,0,0,0,0,0.692,ATMA_2020-05-27_03_56_16_s003.wav,2020-05-27_03_56_16,28.1,43.401,15.301
ATMA,Lectura 9,4,Vamos a tomar acciones radicales y vamos a realizar una lucha frontal contra la delincuencia.,1,12,0,0,0,0,0,1,0,0,0,0,1,0,0.582,ATMA_2020-05-27_03_56_16_s004.wav,2020-05-27_03_56_16,43.401,48.56,5.159
ATMA,Lectura 9,5,"El consejo municipal se pronunciará en conjunto”, manifestó el burgomaestre provincial.",1,13,0,0,0,0,0,1,0,0,0,0,0,0,0.573,ATMA_2020-05-27_03_56_16_s005.wav,2020-05-27_03_56_16,48.56,53.78,5.22
ATMA,Lectura 9,6,“Tenemos a un monstruo que ha dado cuenta en su testimonial ante la policía.,1,15,0,0,0,0,0,1,0,0,0,0,1,0,0.478,ATMA_2020-05-27_03_56_16_s006.wav,2020-05-27_03_56_16,53.78,58.72,4.94
ATMA,Lectura 9,7,"Vamos a levantar la bandera a media asta, porque hemos declarado duelo provincial por dos días”, agregó.",1,16,0,0,0,0,0,1,0,0,0,0,0,0,0.538,ATMA_2020-05-27_03_56_16_s007.wav,2020-05-27_03_56_16,58.72,65.49,6.77
ATMA,Lectura 9,8,"Asimismo, reiteró que pedirán al Ministerio de la Mujer y Poblaciones Vulnerables y al Ministerio del Interior tomar “acciones rápidas y urgentes”.",4,"17,19,21,22",0,0,1,0,0,2,0,0,0,0,0,0,0.93,ATMA_2020-05-27_03_56_16_s008.wav,2020-05-27_03_56_16,67.65,78.9,11.25
ATMA,Lectura 9,9,También lamentó que no haya la cantidad necesaria de policías en las comisarías de algunos distritos.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_03_56_16_s009.wav,2020-05-27_03_56_16,78.9,84.558,5.657
ATMA,Lectura 9,10,"“Vamos a pedir justicia, pedimos a la ministra Gloria Montenegro y al Mininter tomar acciones rápidas y urgentes.",3,"25,26,28",0,0,1,0,0,2,0,0,0,1,1,0,0.843,ATMA_2020-05-27_03_56_16_s010.wav,2020-05-27_03_56_16,84.558,93.332,8.775
ATMA,Lectura 9,11,La escasa cantidad de recursos nos ata las manos.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.308,ATMA_2020-05-27_03_56_16_s011.wav,2020-05-27_03_56_16,93.332,97.391,4.059
ATMA,Lectura 9,12,"Tenemos policías y serenos, pero no hay agentes en los puestos policiales de varios distritos como Chiara, Kaquiabamba y Pacobamba, la delincuencia campea en Andahuaylas”, puntualizó.",6,"30,31,32,33,34,35",0,2,0,1,0,2,0,0,0,0,0,0,0.696,ATMA_2020-05-27_03_56_16_s012.wav,2020-05-27_03_56_16,97.391,114.544,17.152
ATMA,Lectura 9,13,"El domingo fue capturado Maicol Oscco Quispe, quien confesó los crímenes de las dos niñas que habían sido reportadas desaparecidas hace una semana.",1,38,0,0,0,1,0,0,0,0,0,0,0,0,0.282,ATMA_2020-05-27_03_56_16_s013.wav,2020-05-27_03_56_16,114.544,125.192,10.649
ATMA,Lectura 9,14,"A causa de ello, decenas de ciudadanos indignados protagonizaron enfrentamientos con la Policía, en un intento de tomar justicia por sus propias manos.",1,41,0,1,1,0,0,0,0,0,0,0,0,0,0.276,ATMA_2020-05-27_03_56_16_s014.wav,2020-05-27_03_56_16,125.192,136.05,10.857
ATMA,Lectura 10,0,¡CUIDADO! Alertan nueva forma de robo electrónico,2,"0,1",0,0,0,0,0,2,0,0,0,0,0,0,1.0,ATMA_2020-05-27_06_06_55_s000.wav,2020-05-27_06_06_55,0.87,4.774,3.904
ATMA,Lectura 10,1,"Piden las tarjetas para supuestamente anularlas, pero lo que hacen es usar los datos para robar.",1,4,0,0,0,0,0,1,0,0,0,0,0,0,0.26,ATMA_2020-05-27_06_06_55_s001.wav,2020-05-27_06_06_55,4.774,11.693,6.919
ATMA,Lectura 10,2,"Si un ‘trabajador’ de un banco lo llama para alertarlo de supuestos ‘movimientos inusuales’ con su tarjeta de crédito, tenga mucho cuidado.",2,"7,8",0,0,1,0,0,1,0,0,0,0,0,0,0.489,ATMA_2020-05-27_06_06_55_s002.wav,2020-05-27_06_06_55,11.693,22.346,10.654
ATMA,Lectura 10,3,"Este podría ser un delincuente y el siguiente paso será que acuda a su casa, le pida su tarjeta y –delante de usted– la corte a fin de garantizarle que quedará anulada.",2,"11,12",1,1,0,0,0,1,0,0,0,0,0,0,0.532,ATMA_2020-05-27_06_06_55_s003.wav,2020-05-27_06_06_55,22.346,34.472,12.126
ATMA,Lectura 10,4,"Sin embargo, su propósito será llevarse el dispositivo, utilizar la información del mismo y realizar una serie de compras online.",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.326,ATMA_2020-05-27_06_06_55_s004.wav,2020-05-27_06_06_55,34.472,43.667,9.195
ATMA,Lectura 10,5,Esto es lo que le ocurrió a siete personas en las últimas semanas.,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.309,ATMA_2020-05-27_06_06_55_s005.wav,2020-05-27_06_06_55,43.667,47.976,4.309
ATMA,Lectura 10,6,"Las denuncias fueron presentadas en la Dirincri y los montos de los robos fueron de entre S/9,500 y S/40,000.",4,"17,18,19,20",0,0,2,0,0,2,0,0,0,0,0,0,0.883,ATMA_2020-05-27_06_06_55_s006.wav,2020-05-27_06_06_55,47.976,58.578,10.601
ATMA,Lectura 10,7,"No obstante, hay más denuncias en las Depincris de los distintos distritos de la capital, según lo advirtió el coronel José Cruz, jefe de la División de Estafas.",2,"22,25",0,0,0,0,0,2,0,0,0,0,0,0,0.438,ATMA_2020-05-27_06_06_55_s007.wav,2020-05-27_06_06_55,58.578,72.294,13.716
ATMA,Lectura 10,8,El oficial explicó que el falso trabajador del banco cortará la tarjeta y se la llevará.,1,31,0,0,0,0,0,1,0,0,0,1,0,0,0.221,ATMA_2020-05-27_06_06_55_s008.wav,2020-05-27_06_06_55,72.294,81.007,8.714
ATMA,Lectura 10,9,"Si bien esta ya no podrá ser utilizada en un cajero automático o en un dispositivo POS, “sí podrá realizar compras –vía Internet– con los datos que aparecen en la tarjeta, es decir, con el número, la fecha de caducidad y el código de seguridad”.",4,"32,34,36,37",1,1,0,0,0,2,0,0,0,0,0,0,0.674,ATMA_2020-05-27_06_06_55_s009.wav,2020-05-27_06_06_55,81.007,99.618,18.61
ATMA,Lectura 10,10,"Cruz recordó que los bancos nunca solicitan la devolución de las tarjetas, solo proceden a bloquearlas. -La Policía ha alertado de que existe un mercado negro en el que se comercializan las bases de datos de clientes de bancos y de tiendas por departamento.",5,"39,41,42,43,44",0,1,1,0,0,3,0,0,0,0,0,0,0.663,ATMA_2020-05-27_06_06_55_s010.wav,2020-05-27_06_06_55,99.618,121.13,21.512
ATMA,Lectura 1,0,Bono Familiar Universal: Midis creará nuevo bono para quienes logren inscribirse en la plataforma Reniec,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0.327,ATMA_2020-05-27_10_23_37_s000.wav,2020-05-27_10_23_37,0.0,9.181,9.181
ATMA,Lectura 1,1,"La ministra de Desarrollo e Inclusión Social, Ariela Luna, informó que solo se ha pagado el 32% del bono rural y el 35% del bono familiar universal",2,"5,6",0,0,0,0,0,2,0,0,0,0,0,0,0.302,ATMA_2020-05-27_10_23_37_s001.wav,2020-05-27_10_23_37,9.181,20.704,11.523
ATMA,Lectura 1,2,"La ministra de Desarrollo e Inclusión Social, Ariela Luna, informó que las personas que no puedan acceder al Bono Familiar Universal y logren inscribirse en la plataforma de Reniec, recibirán un nuevo bono.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.128,ATMA_2020-05-27_10_23_37_s002.wav,2020-05-27_10_23_37,20.704,32.547,11.844
ATMA,Lectura 1,4,"Además, apuntó que solo se ha pagado el 32% del bono rural y el 35% del bono familiar universal.",2,"8,9",0,1,0,0,0,1,0,0,0,1,0,0,0.655,ATMA_2020-05-27_10_23_37_s004.wav,2020-05-27_10_23_37,32.547,41.58,9.033
ATMA,Lectura 1,5,"Durante sesión virtual de la Comisión de Fiscalización y Contraloría, la titular del Midis reconoció que se han cometido errores en el reparto del bono e informó del avance en su entrega.",2,"11,13",0,0,0,0,0,2,0,0,0,0,0,0,0.427,ATMA_2020-05-27_10_23_37_s005.wav,2020-05-27_10_23_37,41.58,55.54,13.96
ATMA,Lectura 1,6,"“Hemos reconocido que el padrón general de hogares era a demanda y no estaba preparado para esto”, apuntó.",1,14,0,0,0,0,0,1,0,0,0,1,0,0,0.278,ATMA_2020-05-27_10_23_37_s006.wav,2020-05-27_10_23_37,55.54,62.432,6.893
ATMA,Lectura 1,7,"Añadió que, a la fecha, 3.2 millones de hogares han cobrado el bono de S/ 760 para aliviar el impacto económico de la pandemia del COVID-19.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_10_23_37_s007.wav,2020-05-27_10_23_37,62.432,73.68,11.248
ATMA,Lectura 1,8,"En la misma sesión, la viceministra de Políticas y Evaluación Social, Claudia",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_10_23_37_s008.wav,2020-05-27_10_23_37,73.68,80.42,6.74
ATMA,Lectura 1,9,"Benavides, informó que el 0,3% del padrón estaba conformado por fallecidos.",1,20,0,1,0,0,0,0,0,0,0,0,0,0,0.506,ATMA_2020-05-27_10_23_37_s009.wav,2020-05-27_10_23_37,80.42,86.351,5.931
ATMA,Lectura 1,10,"“Esa información se limpió y se designó a otro miembro del hogar para que pueda hacer el cobro en una actualización del padrón”, anotó.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_10_23_37_s010.wav,2020-05-27_10_23_37,86.351,94.104,7.753
ATMA,Lectura 1,11,Añadió que ahora hacen cotejos diarios con la base de datos de fallecidos del Reniec.,2,"22,23",0,1,0,0,0,0,0,0,0,0,1,0,0.709,ATMA_2020-05-27_10_23_37_s011.wav,2020-05-27_10_23_37,94.104,100.096,5.992
ATMA,Lectura 1,12,"Además, sobre el registro de nuevos beneficiarios en el padrón del bono, indicó que se está trabajando en la emisión de mensajes personalizados para los usuarios que no podrán acceder al subsidio.",1,25,0,0,0,0,0,1,0,0,0,0,0,0,0.235,ATMA_2020-05-27_10_23_37_s012.wav,2020-05-27_10_23_37,100.096,112.85,12.754
ATMA,Lectura 2,0,"Maritza García no integrará Unidos por la República ni apoyará a Salaverry Presidente del Congreso, Daniel Salaverry, había anunciado esta noche la conformación de la bancada.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,ATMA_2020-05-27_10_23_55_s000.wav,2020-05-27_10_23_55,0.0,10.514,10.514
ATMA,Lectura 2,1,"Maritza García, sin embargo, anunció que continuará con en Cambio 21 y apoyará a Pedro Olaechea a la Mesa Directiva.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.033,ATMA_2020-05-27_10_23_55_s001.wav,2020-05-27_10_23_55,10.514,19.814,9.3
ATMA,Lectura 2,2,"Horas movidas hubo esta la noche del miércoles 25 en el Congreso, en medio de la culminación de la legislatura y cierre del plazo para la inscripción de las listas a la Mesa Directiva.",2,"4,6",0,0,0,0,0,1,1,0,0,0,2,0,0.477,ATMA_2020-05-27_10_23_55_s002.wav,2020-05-27_10_23_55,19.814,33.347,13.534
ATMA,Lectura 2,3,"La recién oficializada bancada Unidos por la República se quedó sin su primera integrante, luego que Maritza García señaló que no formará parte de la agrupación parlamentaria.",3,"7,9,10",1,0,0,1,0,0,0,0,0,0,0,0,0.683,ATMA_2020-05-27_10_23_55_s003.wav,2020-05-27_10_23_55,33.347,45.407,12.06
ATMA,Lectura 2,4,"La bancada fue oficializada mediante solicitud al Oficial Mayor, siendo integrada por 6 congresistas, incluyendo Daniel Salaverry.",1,14,0,0,0,0,0,1,0,0,0,0,0,0,0.235,ATMA_2020-05-27_10_23_55_s004.wav,2020-05-27_10_23_55,45.407,54.341,8.934
ATMA,Lectura 2,5,"Sin García, quedan 5 parlamentarios, aunque su permanencia peligra si otro legislador deja la agrupación.",2,"15,16",0,1,0,0,0,1,0,0,0,0,0,0,0.749,ATMA_2020-05-27_10_23_55_s005.wav,2020-05-27_10_23_55,54.341,63.547,9.206
ATMA,Lectura 2,6,"“No formaré parte de la Bancada Republicana”, anunció Maritza García a través de su cuenta de Twitter.",1,17,0,0,1,0,0,0,0,0,0,0,0,0,0.376,ATMA_2020-05-27_10_23_55_s006.wav,2020-05-27_10_23_55,63.547,71.52,7.972
ATMA,Lectura 2,7,"“Seguiré en Cambio 21 con la esperanza de un Perú mejor y siempre bajo el mismo lineamiento político que coincidan con el colega Olaechea”, añadió.",0,,0,0,0,0,0,0,0,0,0,0,0,0,0.128,ATMA_2020-05-27_10_23_55_s007.wav,2020-05-27_10_23_55,71.52,82.334,10.814
