Show,EpId,lectura,sent_idx,clip_name,start_sample,stop_sample,start_s,stop_s,dur_s,n_palabras_ref,n_palabras_asr,anclaje,precision,pal_por_seg,texto_ref,texto_asr
ATMA,2020-05-27_03_54_34,Lectura 5,10,ATMA_2020-05-27_03_54_34_s010.wav,1278980,1475679,79.936,92.23,12.294,37,36,0.973,1.0,2.93,"La marcha se llevará a cabo desde las 7:00 p.m. y la concentración en Lima será en el Campo de Marte, en Jesús María, para luego dirigirse por otras calles del Centro de la capital.",la marcha se llevara a cabo desde las 7 p m y la concentracion en lima sera en el campo de marte en jesus maria para luego dirigirse por otras calles del centro de la capital
ATMA,2020-05-27_03_55_03,Lectura 6,0,ATMA_2020-05-27_03_55_03_s000.wav,0,96020,0.0,6.001,6.001,13,13,1.0,1.0,2.17,Mercedes Araoz renunció a la vicepresidencia de la República y pide elecciones generales,mercedes arauz renuncio a la vicepresidencia de la republica y pide elecciones generales
ATMA,2020-05-27_03_55_03,Lectura 6,1,ATMA_2020-05-27_03_55_03_s001.wav,96020,282440,6.001,17.652,11.651,26,26,1.0,1.0,2.23,"“Espero que mi renuncia conduzca a la convocatoria de elecciones generales en el más breve plazo por el bien del país"", dijo en sus redes sociales.",espero que mi renuncia conduzca a la convocatoria de elecciones generales en el mas breve plazo por el bien del pais dijo en sus redes sociales
ATMA,2020-05-27_03_55_03,Lectura 6,2,ATMA_2020-05-27_03_55_03_s002.wav,282440,493440,17.652,30.84,13.188,30,30,1.0,1.0,2.27,"Un día después de haber asumido como presidenta encargada del Perú, Mercedes Araoz, a través de las redes sociales, anunció que renunció irrevocablemente al cargo de Vicepresidenta de la República.",un dia despues de haber asumido como presidenta encargada del peru mercedes arauz a traves de las redes sociales anuncio que renuncio irrevocablemente al cargo de vicepresidenta de la republica
ATMA,2020-05-27_03_55_03,Lectura 6,3,ATMA_2020-05-27_03_55_03_s003.wav,493440,754880,30.84,47.18,16.34,35,35,1.0,1.0,2.14,"En una carta que fue dirigida al presidente de la Comisión Permanente del Congreso, Pedro Olaechea, Araoz indicó que con su salida del cargo, espera que se convoque a las elecciones generales lo más pronto.",en una carta que fue dirigida al presidente de la comision permanente del congreso pedro olechia arauz indico que con su salida del cargo espera que se convoque a las elecciones generales lo mas pronto
ATMA,2020-05-27_03_55_03,Lectura 6,4,ATMA_2020-05-27_03_55_03_s004.wav,754880,1145920,47.18,71.62,24.44,43,43,0.953,0.953,1.76,"“Espero que mi renuncia conduzca a la convocatoria de elecciones generales en el más breve plazo por el bien del país"", precisó la exviceministra argumentando que la razón fundamental de su decisión es que “se ha roto el orden constitucional en el Perú”.",espero que mi renuncia reduzca la convocatoria de elecciones generales en el mas breve plazo por el bien del pais preciso la ex viceministra argumentando que la razon fundamental de su decision es que se ha roto el orden constitucional en el peru
ATMA,2020-05-27_03_55_03,Lectura 6,5,ATMA_2020-05-27_03_55_03_s005.wav,1145920,1337720,71.62,83.608,11.988,27,27,1.0,1.0,2.25,También señaló que declina del encargo que se le otorgó cuando el Pleno del Congreso anunció la suspensión del mandatario Martín Vizcarra y ella juró como presidenta.,tambien senalo que declina del cargo que se le otorgo cuando el pleno del congreso anuncio la suspension del mandatario martin vizcarra y ella juro como presidenta
ATMA,2020-05-27_03_55_03,Lectura 6,6,ATMA_2020-05-27_03_55_03_s006.wav,1337720,1475320,83.608,92.207,8.6,17,16,0.882,0.938,1.86,"“Cumplo con declinar del encargo conferido al renunciar al cargo de vicepresidenta constitucional de la República”, señaló.",cumplo como declinar del cargo conferido al renunciar al cargo de vicepresidencia constitucional de la republica
ATMA,2020-05-27_03_55_03,Lectura 6,7,ATMA_2020-05-27_03_55_03_s007.wav,1475320,1768920,92.207,110.558,18.35,43,40,0.907,0.975,2.18,"Asimismo, detalló que tras el pronunciamiento de la Organización de Estados Americanos (OEA), que señaló que el Tribunal Constitucional (TC) debe pronunciarse sobre la situación política, “no hay las condiciones mínimas para ejercer el encargo que me dio el Congreso de la República”.",asimismo detallo que tras el pronunciamiento de la organizacion de estados americanos que senalo que el tribunal constitucional debe pronunciarse sobre las situaciones politicas no hay las condiciones minimas para ejercer el cargo que medio el congreso de la republica
ATMA,2020-05-27_03_55_03,Lectura 6,8,ATMA_2020-05-27_03_55_03_s008.wav,1768920,1980320,110.558,123.77,13.213,27,27,1.0,1.0,2.04,"En ese mismo sentido, Mercedes Araoz indicó que, durante su carrera pública, siempre ha preferido defender sus principios antes que “intereses personales” o su “popularidad como política”.",en ese mismo sentido mercedes arauz indico que durante su carrera publica siempre ha preferido defender sus principios antes que intereses personales o su popularidad como politica
ATMA,2020-05-27_03_55_25,Lectura 7,0,ATMA_2020-05-27_03_55_25_s000.wav,7199,107100,0.45,6.694,6.244,13,13,1.0,1.0,2.08,"Conozca los nuevos horarios del Metropolitano, los Corredores Complementarios y el Tren Eléctrico",conozca los nuevos horarios del metropolitano los corredores complementarios y el tren electrico
ATMA,2020-05-27_03_55_25,Lectura 7,1,ATMA_2020-05-27_03_55_25_s001.wav,107100,358079,6.694,22.38,15.686,46,46,0.978,0.978,2.93,"Servicios extenderán sus horarios ante cambio del toque de queda hasta las 9:00 p.m. Ante la ampliación del estado de emergencia, la Municipalidad de Lima informó que tanto el Metropolitano como los Corredores Complementarios tendrán nuevos horarios a partir de mañana, 25 de mayo.",servicios extenderan sus horarios ante el cambio del toque de queda hasta las 9 p m ante la empleacion del estado de emergencia la municipalidad de lima informo que tanto el metropolitano como los corredores complementarios tendran nuevos horarios a partir de manana 25 de mayo
ATMA,2020-05-27_03_55_25,Lectura 7,2,ATMA_2020-05-27_03_55_25_s002.wav,358079,498719,22.38,31.17,8.79,22,19,0.773,0.895,2.16,"Los servicios troncales y las rutas alimentadoras funcionarán de 5:30 a.m. a 9:00 p.m., en sus recorridos habituales.",los servicios troncales y las rutas alimentadoras funcionaran de 5 y 30 a 9 pm en sus recorridos habituales
ATMA,2020-05-27_03_55_25,Lectura 7,3,ATMA_2020-05-27_03_55_25_s003.wav,498719,757400,31.17,47.337,16.168,46,40,0.783,0.9,2.47,"Los expresos 1, 2, 3, 8, Súper Expreso y Súper Expreso Norte operarán en la tarde hasta las 8:00 p.m. Las puertas de las estaciones se cerrarán a las 9:00 p.m., hora en que inicia el toque de queda a nivel nacional.",los expresos 1 2 3 8 superexpreso y superexpreso norte operaran en la tarde hasta las 8 pm las puertas de las estaciones se cerraran a las 9 pm hora en que inicie el toque de queda a nivel nacional
ATMA,2020-05-27_03_55_25,Lectura 7,4,ATMA_2020-05-27_03_55_25_s004.wav,757400,840960,47.337,52.56,5.223,5,9,1.0,0.556,1.72,HORARIO DE LOS CORREDORES COMPLEMENTARIOS,horario de los recorridos horario de los corredores complementarios
ATMA,2020-05-27_03_55_25,Lectura 7,5,ATMA_2020-05-27_03_55_25_s005.wav,840960,937280,52.56,58.58,6.02,24,21,0.792,0.905,3.49,"En el caso de los Corredores Complementarios, el horario será de 5:30 a.m. a 9:00 p.m. en sus rutas normales.",en el caso de los corredores complementarios el horario sera de 5 y 30 a 9 pm en sus rutas normales
ATMA,2020-05-27_03_55_25,Lectura 7,6,ATMA_2020-05-27_03_55_25_s006.wav,937280,1118940,58.58,69.934,11.354,31,31,0.968,0.968,2.73,"La comuna metropolitana recordó a los usuarios que deberán mantener la distancia mínima de un metro al momento de ingresar a cada paradero, así como al momento de abordar los buses.",la comuna metropolitana recordo a sus usuarios que deberan mantener la distancia minima de un metro al momento de ingresar a cada paradero asi como al momento de abordar los buses
ATMA,2020-05-27_03_55_25,Lectura 7,7,ATMA_2020-05-27_03_55_25_s007.wav,1118940,1224760,69.934,76.547,6.614,17,17,1.0,1.0,2.57,Los pasajeros solo pueden viajar sentados dejando un asiento libre y deben usar mascarilla de manera obligatoria.,los pasajeros solo pueden viajar sentados dejando un asiento libre y deben usar mascarilla de manera obligatoria
ATMA,2020-05-27_03_55_25,Lectura 7,8,ATMA_2020-05-27_03_55_25_s008.wav,1224760,1290280,76.547,80.642,4.095,9,9,1.0,1.0,2.2,HORARIO DE LA LÍNEA 1 DEL METRO DE LIMA,horario de la linea 1 del metro de lima
ATMA,2020-05-27_03_55_25,Lectura 7,9,ATMA_2020-05-27_03_55_25_s009.wav,1290280,1730240,80.642,108.14,27.497,82,76,0.866,0.934,2.76,"Por su parte, el Ministerio de Transportes y Comunicaciones (MTC) y la Autoridad de Transporte Urbano para Lima y Callao (ATU) anunciaron que el horario de la Línea 1 del Metro de Lima será de 05:30 a.m. a 12:00 p.m. y por la tarde de 4:00 a 8:00 p.m. Los horarios indican la hora de partida de los primeros y últimos trenes desde las estaciones de Villa El Salvador (Sur-Norte) y Bayóvar (Norte-Sur).",por su parte el ministro de transportes y comunicaciones mtc y la autoridad de transporte urbano para lima y callao atu anunciaron que el horario de la linea 1 del metro lima sera de 5 y 30 am a 12 pm y por la tarde de 4 a 8 pm los horarios indican la hora de partida de los primeros y ultimos trenes desde la estacion de villa el salvador sur norte y bayobar norte sur
ATMA,2020-05-27_03_55_25,Lectura 7,10,ATMA_2020-05-27_03_55_25_s010.wav,1730240,1946080,108.14,121.63,13.49,34,34,0.971,0.971,2.52,"Las autoridades recordaron a la población que al igual que en las unidades del Metropolitano y los corredores, deberán respetar las normas de distanciamiento social e higiene a fin de prevenir contagios de coronavirus.",las autoridades recordaron a la poblacion que al igual que en las unidades de metropolitano y los corredores deben respetar las normas de distanciamiento social y higiene a fin de prevenir contagios de coronavirus
ATMA,2020-05-27_03_55_51,Lectura 8,0,ATMA_2020-05-27_03_55_51_s000.wav,0,100840,0.0,6.303,6.303,11,11,1.0,1.0,1.75,Lima registró 800 denuncias por robo durante la cuarentena en mayo,lima registro 800 denuncias por robo durante la cuarentena en mayo
ATMA,2020-05-27_03_55_51,Lectura 8,1,ATMA_2020-05-27_03_55_51_s001.wav,100840,341400,6.303,21.337,15.035,31,32,1.0,1.0,2.13,"Antes de iniciarse la cuarentena en marzo, los robos en Lima daban un total de 810 actos delictivos mientras que en abril, cuando se inicia con la medida, los robos fueron",antes de iniciarse la cuarentena en marzo los robos en lima daban un total de 810 actos delictivos mientras que en abril cuando se inicia con la medida los robos fueron 290
ATMA,2020-05-27_03_55_51,Lectura 8,2,ATMA_2020-05-27_03_55_51_s002.wav,341400,595720,21.337,37.233,15.895,38,38,1.0,1.0,2.39,"Durante los primeros días de la cuarentena, el Gobierno informó que la delincuencia había disminuido hasta en un 84 %; sin embargo esa cifra quedó atrás y actualmente la incidencia delictiva está alcanzando las cifras de un día normal.",durante los primeros dias de la cuarentena el gobierno informo que la delincuencia habia disminuido hasta en un 84 sin embargo esa cifra quedo atras y actualmente la incidencia delictiva esta alcanzando las cifras de un dia normal
ATMA,2020-05-27_03_55_51,Lectura 8,3,ATMA_2020-05-27_03_55_51_s003.wav,595720,787000,37.233,49.188,11.955,28,28,1.0,1.0,2.34,"Los delincuentes han vuelto a las calles e incluso asaltan los puestos de abarrotes, boticas y otros centros que tienen permiso para trabajar durante el aislamiento social obligatorio.",los delincuentes han vuelto a las calles e incluso asaltan los puestos de abarrotes boticas y otros centros que tienen permiso para trabajar durante el aislamiento social obligatorio
ATMA,2020-05-27_03_55_51,Lectura 8,4,ATMA_2020-05-27_03_55_51_s004.wav,787000,841400,49.188,52.587,3.4,9,9,1.0,1.0,2.65,Solo en Lima se han registrado hasta 800 robos.,solo en lima se han registrado hasta 800 robos
ATMA,2020-05-27_03_55_51,Lectura 8,5,ATMA_2020-05-27_03_55_51_s005.wav,841400,1077720,52.587,67.358,14.77,25,25,1.0,1.0,1.69,"El coronel Carlos Céspedes, jefe de Robos de la Dirección de Investigación Criminal (Dirincri), señaló para Cuarto Poder que ""el modus operandi es el raqueteo”.",el coronel carlos cespedes jefe de robos de la direccion de investigacion criminal dirincre senalo para cuarto poder que el modus operandi es el raquetero
ATMA,2020-05-27_03_55_51,Lectura 8,6,ATMA_2020-05-27_03_55_51_s006.wav,1077720,1260460,67.358,78.779,11.421,23,24,0.957,0.917,2.1,Esta modalidad tiene como principal característica el uso de un trasporte de donde bajan los sujetos con armas mientras otro hace de ‘campana’.,esta modalidad tiene como principal caracteristica el uso de un transporte de donde bajan los sujetos con armas mientras otros lo hacen de campana
ATMA,2020-05-27_03_55_51,Lectura 8,7,ATMA_2020-05-27_03_55_51_s007.wav,1260460,1508120,78.779,94.257,15.479,32,32,1.0,1.0,2.07,"Antes de iniciarse la cuarentena en marzo, los robos en Lima daban un total de 810 actos delictivos mientras que en abril, cuando se inicia con la medida se registraron solo 290.",antes de iniciarse la cuarentena en marzo los robos en lima daban un total de 810 actos delicitos mientras que en abril cuando se iniciaba con la medida se registraron solo 290
ATMA,2020-05-27_03_55_51,Lectura 8,8,ATMA_2020-05-27_03_55_51_s008.wav,1508120,1646680,94.257,102.918,8.66,22,22,1.0,1.0,2.54,Actualmente las cifras han vuelto a la normalidad y solo en el mes de mayo se reportaron 800 denuncias en la capital.,actualmente las cifras han vuelto a la normalidad y solo en el mes de mayo se reportaron 800 denuncias en la capital
ATMA,2020-05-27_03_55_51,Lectura 8,9,ATMA_2020-05-27_03_55_51_s009.wav,1646680,1842719,102.918,115.17,12.252,31,31,1.0,1.0,2.53,Agentes de la Dirincri vienen elaborando un plan de acción contra la criminalidad para evitar que aumenten las cifras de delincuencia pues con el termino de la cuarentena esto podría descontrolarse.,agentes de la dirincre vienen elaborando un plan de acciones contra la criminalidad para evitar que aumenten las cifras de delincuencia pues con el termino de la cuarentena esto podria descontrolarse
ATMA,2020-05-27_03_56_16,Lectura 9,0,ATMA_2020-05-27_03_56_16_s000.wav,6880,66899,0.43,4.181,3.751,10,10,1.0,1.0,2.67,Declaran duelo en provincia de Andahuaylas por asesinato de niñas,declaran duelo en provincia de andahuaylas por asesinato de ninas
ATMA,2020-05-27_03_56_16,Lectura 9,1,ATMA_2020-05-27_03_56_16_s001.wav,66899,209820,4.181,13.114,8.933,24,24,0.958,0.958,2.69,El alcalde de Andahuaylas dijo que el consejo municipal se reunirá próximamente y se tomarán “acciones radicales” para frenar la delincuencia en la provincia.,el alcalde de andahuaylas dijo que el consejo municipal se reunira proximamente y se montara acciones radicales para frenar la delincuencia en la provincia
ATMA,2020-05-27_03_56_16,Lectura 9,2,ATMA_2020-05-27_03_56_16_s002.wav,209820,449600,13.114,28.1,14.986,43,43,0.977,0.977,2.87,"El alcalde de Andahuaylas, Abel Gutiérrez, informó que se ha declarado duelo provincial por dos días y que procederán a izar la bandera a media asta, a raíz del caso de violación y asesinato de dos menores que ha conmocionado a los ciudadanos.",el alcalde de andahuaylas abel gutierrez informo que se ha declarado duelo provincial por dos dias y se procedera a izar la bandera a media asta a raiz del caso de violacion y asesinato de dos menores que han conmocionado a los ciudadanos
ATMA,2020-05-27_03_56_16,Lectura 9,3,ATMA_2020-05-27_03_56_16_s003.wav,449600,694420,28.1,43.401,15.301,33,33,1.0,1.0,2.16,"En declaraciones al noticiero de ""Latina"", indicó que el consejo municipal se reunirá próximamente y se tomarán “acciones radicales” para frenar la delincuencia en la provincia.    “Pudo ser un familiar de cualquier ciudadano.",en declaraciones al noticiero de latina indico que el consejo municipal se reunira proximamente y se tomara acciones radicales para frenar la delincuencia en la provincia pudo ser un familiar de cualquier ciudadano
ATMA,2020-05-27_03_56_16,Lectura 9,4,ATMA_2020-05-27_03_56_16_s004.wav,694420,776960,43.401,48.56,5.159,15,15,1.0,1.0,2.91,Vamos a tomar acciones radicales y vamos a realizar una lucha frontal contra la delincuencia.,vamos a tomar acciones radicales y vamos a realizar una lucha frontal contra la delincuencia
ATMA,2020-05-27_03_56_16,Lectura 9,5,ATMA_2020-05-27_03_56_16_s005.wav,776960,860480,48.56,53.78,5.22,11,12,0.909,0.833,2.3,"El consejo municipal se pronunciará en conjunto”, manifestó el burgomaestre provincial.",el consejo municipal se pronunciara en conjunto manifesto el burgo maestro provincial
ATMA,2020-05-27_03_56_16,Lectura 9,6,ATMA_2020-05-27_03_56_16_s006.wav,860480,939520,53.78,58.72,4.94,14,13,0.929,1.0,2.63,“Tenemos a un monstruo que ha dado cuenta en su testimonial ante la policía.,tenemos un monstruo que ha dado cuenta en su testimonio ante la policia
ATMA,2020-05-27_03_56_16,Lectura 9,7,ATMA_2020-05-27_03_56_16_s007.wav,939520,1047839,58.72,65.49,6.77,17,16,0.941,1.0,2.36,"Vamos a levantar la bandera a media asta, porque hemos declarado duelo provincial por dos días”, agregó.",vamos a levantar la bandera a media asta porque hemos declarado duelo provincial por dos dias
ATMA,2020-05-27_03_56_16,Lectura 9,8,ATMA_2020-05-27_03_56_16_s008.wav,1082400,1262400,67.65,78.9,11.25,22,22,1.0,1.0,1.96,"Asimismo, reiteró que pedirán al Ministerio de la Mujer y Poblaciones Vulnerables y al Ministerio del Interior tomar “acciones rápidas y urgentes”.",asimismo reitero que pedirian al ministerio de la mujer y poblaciones vulnerables y al ministerio del interior tomar acciones rapidas y urgentes
ATMA,2020-05-27_03_56_16,Lectura 9,9,ATMA_2020-05-27_03_56_16_s009.wav,1262400,1352920,78.9,84.558,5.657,16,16,1.0,1.0,2.83,También lamentó que no haya la cantidad necesaria de policías en las comisarías de algunos distritos.,tambien lamento que no haya la cantidad necesaria de policias en las comisarias de algunos distritos
ATMA,2020-05-27_03_56_16,Lectura 9,10,ATMA_2020-05-27_03_56_16_s010.wav,1352920,1493320,84.558,93.332,8.775,18,18,0.944,0.944,2.05,"“Vamos a pedir justicia, pedimos a la ministra Gloria Montenegro y al Mininter tomar acciones rápidas y urgentes.",vamos a pedir justicia pedimos a la ministra gloria montenegro y al ministro tomar acciones rapidas y urgentes
ATMA,2020-05-27_03_56_16,Lectura 9,11,ATMA_2020-05-27_03_56_16_s011.wav,1493320,1558260,93.332,97.391,4.059,9,9,1.0,1.0,2.22,La escasa cantidad de recursos nos ata las manos.,la escasa cantidad de recursos nos ata las manos
ATMA,2020-05-27_03_56_16,Lectura 9,12,ATMA_2020-05-27_03_56_16_s012.wav,1558260,1832700,97.391,114.544,17.152,26,27,0.885,0.852,1.57,"Tenemos policías y serenos, pero no hay agentes en los puestos policiales de varios distritos como Chiara, Kaquiabamba y Pacobamba, la delincuencia campea en Andahuaylas”, puntualizó.",tenemos policias y serenos pero no hay agentes en los puestos policiales de varios distritos como echearia yara caqueabamba paco bamba la delincuencia campea en andahuaylas puntualizo
ATMA,2020-05-27_03_56_16,Lectura 9,13,ATMA_2020-05-27_03_56_16_s013.wav,1832700,2003080,114.544,125.192,10.649,23,23,0.957,0.957,2.16,"El domingo fue capturado Maicol Oscco Quispe, quien confesó los crímenes de las dos niñas que habían sido reportadas desaparecidas hace una semana.",el domingo fue capturado michael osco quispe quien confeso los crimenes de las dos ninas que habian sido reportadas desaparecidas hace una semana
ATMA,2020-05-27_03_56_16,Lectura 9,14,ATMA_2020-05-27_03_56_16_s014.wav,2003080,2176799,125.192,136.05,10.857,23,23,1.0,1.0,2.12,"A causa de ello, decenas de ciudadanos indignados protagonizaron enfrentamientos con la Policía, en un intento de tomar justicia por sus propias manos.",a causa de ello decenas de ciudadanos indignados protagonizaron enfrentamientos con la policia en un intento de tomar justicia por sus propias manos
ATMA,2020-05-27_06_06_55,Lectura 10,0,ATMA_2020-05-27_06_06_55_s000.wav,13920,76379,0.87,4.774,3.904,7,7,1.0,1.0,1.79,¡CUIDADO! Alertan nueva forma de robo electrónico,cuidado alertan nueva forma de robo electronico
ATMA,2020-05-27_06_06_55,Lectura 10,1,ATMA_2020-05-27_06_06_55_s001.wav,76379,187080,4.774,11.693,6.919,16,16,1.0,1.0,2.31,"Piden las tarjetas para supuestamente anularlas, pero lo que hacen es usar los datos para robar.",piden las tarjetas para supuestamente anularlas pero lo que hacen es usar los datos para robar
ATMA,2020-05-27_06_06_55,Lectura 10,2,ATMA_2020-05-27_06_06_55_s002.wav,187080,357540,11.693,22.346,10.654,22,22,1.0,1.0,2.07,"Si un ‘trabajador’ de un banco lo llama para alertarlo de supuestos ‘movimientos inusuales’ con su tarjeta de crédito, tenga mucho cuidado.",si un trabajador de un banco lo llama para alertarlo de supuestos movimientos inusuales con su tarjeta de credito tenga mucho cuidado
ATMA,2020-05-27_06_06_55,Lectura 10,3,ATMA_2020-05-27_06_06_55_s003.wav,357540,551560,22.346,34.472,12.126,32,33,1.0,0.97,2.72,"Este podría ser un delincuente y el siguiente paso será que acuda a su casa, le pida su tarjeta y –delante de usted– la corte a fin de garantizarle que quedará anulada.",este podria ser un delincuente y el siguiente de paso sera que acuda a su casa le pida su tarjeta y delante de usted la corte a fin de garantizarle que quedara anulada
ATMA,2020-05-27_06_06_55,Lectura 10,4,ATMA_2020-05-27_06_06_55_s004.wav,551560,698680,34.472,43.667,9.195,20,20,1.0,1.0,2.18,"Sin embargo, su propósito será llevarse el dispositivo, utilizar la información del mismo y realizar una serie de compras online.",sin embargo su proposito sera llevarse el dispositivo utilizar la informacion del mismo y realizar una serie de compras online
ATMA,2020-05-27_06_06_55,Lectura 10,5,ATMA_2020-05-27_06_06_55_s005.wav,698680,767620,43.667,47.976,4.309,13,12,0.846,0.917,2.79,Esto es lo que le ocurrió a siete personas en las últimas semanas.,esto es lo que ocurrio a 7 personas en las ultimas semanas
ATMA,2020-05-27_06_06_55,Lectura 10,6,ATMA_2020-05-27_06_06_55_s006.wav,767620,937240,47.976,58.578,10.601,23,20,0.826,0.95,1.89,"Las denuncias fueron presentadas en la Dirincri y los montos de los robos fueron de entre S/9,500 y S/40,000.",las denuncias fueron presentadas en la diringre y los montos de los robos fueron entre 9 500 y 40 000
ATMA,2020-05-27_06_06_55,Lectura 10,7,ATMA_2020-05-27_06_06_55_s007.wav,937240,1156700,58.578,72.294,13.716,28,27,0.964,1.0,1.97,"No obstante, hay más denuncias en las Depincris de los distintos distritos de la capital, según lo advirtió el coronel José Cruz, jefe de la División de Estafas.",no obstante hay mas denuncias en las dipincris de los distritos de la capital segun lo advirtio el coronel jose cruz jefe de la division de estafas
ATMA,2020-05-27_06_06_55,Lectura 10,8,ATMA_2020-05-27_06_06_55_s008.wav,1156700,1296120,72.294,81.007,8.714,16,16,1.0,1.0,1.84,El oficial explicó que el falso trabajador del banco cortará la tarjeta y se la llevará.,el oficial explico que el falso trabajador del banco cortara la tarjeta y se la llevara
ATMA,2020-05-27_06_06_55,Lectura 10,9,ATMA_2020-05-27_06_06_55_s009.wav,1296120,1593880,81.007,99.618,18.61,45,45,1.0,1.0,2.42,"Si bien esta ya no podrá ser utilizada en un cajero automático o en un dispositivo POS, “sí podrá realizar compras –vía Internet– con los datos que aparecen en la tarjeta, es decir, con el número, la fecha de caducidad y el código de seguridad”.",si bien esta ya no podra ser utilizada en un cajero automatico o en un dispositivo pos si podra realizar compras via internet con los datos que aparecen en la tarjeta es decir con el numero la fecha de caducidad y el codigo de seguridad
ATMA,2020-05-27_06_06_55,Lectura 10,10,ATMA_2020-05-27_06_06_55_s010.wav,1593880,1938080,99.618,121.13,21.512,44,48,1.0,0.917,2.23,"Cruz recordó que los bancos nunca solicitan la devolución de las tarjetas, solo proceden a bloquearlas. -La Policía ha alertado de que existe un mercado negro en el que se comercializan las bases de datos de clientes de bancos y de tiendas por departamento.",cruz recordo que los los bancos nunca solicitan la devolucion de las tarjetas solo proceden a bloquearlas tengan en cuenta la policia ha alertado de que existe un mercado negro en el que se comercializan las bases de datos de clientes de bancos y de tiendas por departamento
ATMA,2020-05-27_10_23_37,Lectura 1,0,ATMA_2020-05-27_10_23_37_s000.wav,0,146900,0.0,9.181,9.181,15,15,0.933,1.0,1.63,Bono Familiar Universal: Midis creará nuevo bono para quienes logren inscribirse en la plataforma Reniec,bono familiar universal mivis creara nuevo bono para quienes logren inscribirse en la plataforma reniaj
ATMA,2020-05-27_10_23_37,Lectura 1,1,ATMA_2020-05-27_10_23_37_s001.wav,146900,331260,9.181,20.704,11.523,27,26,0.963,1.0,2.26,"La ministra de Desarrollo e Inclusión Social, Ariela Luna, informó que solo se ha pagado el 32% del bono rural y el 35% del bono familiar universal",la ministra de desarrollo e inclusion social ariela luna informo que solo se ha pagado el 32 del bono rural y el 35 del bono universal
